date,total_steps
2025-02-08,3875
2025-02-09,11912
2025-02-10,15082
2025-02-11,12237
2025-02-12,16415
2025-02-13,10133
2025-02-14,7752
2025-02-15,4345
2025-02-16,1818
2025-02-17,16064
2025-02-18,12373
2025-02-19,19598
2025-02-20,5668
2025-02-21,12842
2025-02-22,4804
2025-02-23,5249
2025-02-24,7413
2025-02-25,18376
2025-02-26,7465
2025-02-27,5641
2025-02-28,4977
2025-03-01,10142
2025-03-02,10351
2025-03-03,4301
2025-03-04,7066
2025-03-05,7171
2025-03-06,4070
2025-03-07,5632
2025-03-08,16314
2025-03-09,24864
2025-03-10,91
